news_id,published_at,source,title,snippet,primary_ticker,sentiment_label,sentiment_score,confidence,is_market_sensitive,url
4dee18a0-575d-409d-8741-262354e0ae43,2026-06-23T19:52:58+00:00,Economic Times,Govt draws up contingency plans for 315 districts amid 42% rain deficit,"India faces a significant 42% rainfall deficit this monsoon, exacerbated by El Nino. The government is implementing contingency plans across 315 vulnerable districts, focusing on water conservation and crop diversification. While sowing is slightly ahead of last year, soybean planting lags. District-specific strategies are being deployed to mitigate potential impacts on farm output and ensure food security.",RAIN.NS,neutral,0.5,0.8,False,https://economictimes.indiatimes.com/news/economy/agriculture/govt-draws-up-contingency-plans-for-315-districts-amid-42-rain-deficit/articleshow/131949485.cms
8887b973-ad82-4db7-b6ec-d3efcf8347a5,2026-06-23T19:51:43+00:00,scanx.trade,Sampann Utpadan promoters report no encumbrance in FY26,scanx.trade More Sampann Utpadan promoters report no encumbrance in FY26,SAMPANN.NS,positive,0.985,0.743,False,https://news.google.com/read/CBMisgFBVV95cUxQanA3ODlXc1JqdlZmTUVCbXNmRzlpNGdNU0NWMENNZUQ2TWRBOFlUbEk2NDkydlIxdXhHaVU1N0JRTUZnLUJYbDlfLW9GdVBOckJWeHdTNXRNRV9aVXpOU2lpNU1jcFNkb1IzazN3aFhzcHBjRTNlSWNJcTBFdlVLakJsSm1naHlHQnM0Q3JlTzBma1BON19KRV80dWRxT1hoLU5QYVRlMFBHX3lCbGdvbGVR?hl=en-IN&gl=IN&ceid=IN%3Aen
dcb1bc69-a284-4556-b31f-4032c9324f9e,2026-06-23T19:51:42+00:00,scanx.trade,Crizac Ltd promoter holds 13.99 crore shares in FY26,scanx.trade More Crizac Ltd promoter holds 13.99 crore shares in FY26,CRIZAC.NS,positive,0.98,0.75,False,https://news.google.com/read/CBMirgFBVV95cUxOWVZJeEVoQ2dXNzdqay1RVlpGM0ZabzZsMDNhdEtqbXA3aFJXeUZocnRsTm4wRnFtdDhlQ1RYOFdNdFpsQm5oQ2RnaVVDWl9jWkxuR29PTmFHb1FPQzdTbVJGVzR0ZWpXcVRVSzEzX3lBdXR5NXJCNGw0eUdsaHkzZ2ltMWVMOWRQMWZ6TTN5MEZNSDVqYXdCZ1VvR2h6NnRHMTViZkpIdmoxOHJzS0E?hl=en-IN&gl=IN&ceid=IN%3Aen
322f6b24-1561-4ea8-ab45-7ddbda497444,2026-06-23T19:50:49+00:00,marketscreener.com,"Rallis India Limited Declares Dividend for the Financial Year Ended March 31, 2026","marketscreener.com More Rallis India Limited Declares Dividend for the Financial Year Ended March 31, 2026",RALLIS.NS,positive,0.98,0.95,False,https://news.google.com/read/CBMizwFBVV95cUxPcVl4WHhIN2dLYV84OXhyMW1WcUQzSTFiYUtDcU9zVThVSG9xTElBMFdGdTF3S0U1R19EV3VEOTFRM2hyWGQ3Ry1zZVFiWDFKVTJ2dnJBX2JEZzNMdDhFRE05RUV4S3FsMjcxd0pPZzdpVGp2Y0RzRUp3ZlA4X0QzVmtjeUo3U2dvbHFZeGlYTmw2aGpOVEo1ZE1Zd0VOejZCcWg1U0hIZnloRmMwVHJVSi1oTlR4QUlCNzh1T01kTmlhc0k0UmNrc1FzMkRTU3c?hl=en-IN&gl=IN&ceid=IN%3Aen
d68b337e-0dc5-4df6-ab24-816f20360c4b,2026-06-23T19:46:49+00:00,Economic Times,ED carries out searches at locations linked to Rajesh Exports,"The Enforcement Directorate conducted searches at nine locations linked to Rajesh Exports in Bengaluru and Mumbai concerning alleged forex violations. This action follows a Sebi order alleging overstated revenues. Evidence of benami transactions and a significant gold inventory discrepancy, with stock reportedly 40% lower than recorded, have been uncovered. The ED is also scrutinizing trade receivables adjustments and overseas investments.",RAJESHEXPO.NS,neutral,0.5,0.34,False,https://economictimes.indiatimes.com/news/india/ed-carries-out-searches-at-locations-linked-to-rajesh-exports/articleshow/131949604.cms
9c949b60-d82c-4e96-b16d-309dabf38ffb,2026-06-23T19:42:51+00:00,Economic Times,India-US trade talks gather pace as tariff clock ticks,"India and the US are pushing for an interim trade pact, with high-level talks led by Piyush Goyal and Jamieson Greer aiming for a deal before July 24. Both nations emphasize a ""win-win"" partnership, with India seeking lower tariffs and better market access. Discussions focused on advancing negotiations for a balanced and mutually beneficial agreement, building on a February joint statement.",FOCUS.NS,positive,0.985,0.976,False,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-us-trade-talks-gather-pace-as-tariff-clock-ticks/articleshow/131949478.cms
0ff6b0b0-566a-4821-a3d5-bc49e698b3d6,2026-06-23T19:31:54+00:00,Economic Times,"Best quote of the day by American psychologist B.F. Skinner on life lessons: “When you run into something interesting, drop… – Inspiring lessons on curiosity, learning, discovery and why knowledge is power","Best Quote of the Day by B.F. Skinner: B.F. Skinner’s quote, “When you run into something interesting, drop everything else and study it,” explores the importance of curiosity, focused learning, and intellectual growth. The quote suggests that genuine interest is often the starting point of discovery, knowledge, and innovation. Rather than ignoring curiosity or treating it as a distraction, Skinner encourages people to pursue subjects that capture their attention because they can lead to deeper understanding and personal development.",FOCUS.NS,positive,0.95,0.98,False,https://economictimes.indiatimes.com/news/international/us/best-quote-of-the-day-by-american-psychologist-b-f-skinner-on-life-lessons-when-you-run-into-something-interesting-drop-inspiring-lessons-on-curiosity-learning-discovery-and-why-knowledge-is-power-by-the-father-of-operant-conditioning-and-radical-behaviorism-known-for-his-deep-insights-into-human-behavior-and-motivation/articleshow/131944385.cms
c9411ad5-e17b-49c5-800f-14736ae2be21,2026-06-23T19:31:54+00:00,Economic Times,"Best quote of the day by American psychologist B.F. Skinner on life lessons: “When you run into something interesting, drop… – Inspiring lessons on curiosity, learning, discovery and why knowledge is power","Best Quote of the Day by B.F. Skinner: B.F. Skinner’s quote, “When you run into something interesting, drop everything else and study it,” explores the importance of curiosity, focused learning, and intellectual growth. The quote suggests that genuine interest is often the starting point of discovery, knowledge, and innovation. Rather than ignoring curiosity or treating it as a distraction, Skinner encourages people to pursue subjects that capture their attention because they can lead to deeper understanding and personal development.",INTELLECT.NS,positive,0.95,0.98,False,https://economictimes.indiatimes.com/news/international/us/best-quote-of-the-day-by-american-psychologist-b-f-skinner-on-life-lessons-when-you-run-into-something-interesting-drop-inspiring-lessons-on-curiosity-learning-discovery-and-why-knowledge-is-power-by-the-father-of-operant-conditioning-and-radical-behaviorism-known-for-his-deep-insights-into-human-behavior-and-motivation/articleshow/131944385.cms
88ba80d9-06d4-417e-a56b-6627d93e0231,2026-06-23T19:31:54+00:00,Economic Times,"Best quote of the day by American psychologist B.F. Skinner on life lessons: “When you run into something interesting, drop… – Inspiring lessons on curiosity, learning, discovery and why knowledge is power","Best Quote of the Day by B.F. Skinner: B.F. Skinner’s quote, “When you run into something interesting, drop everything else and study it,” explores the importance of curiosity, focused learning, and intellectual growth. The quote suggests that genuine interest is often the starting point of discovery, knowledge, and innovation. Rather than ignoring curiosity or treating it as a distraction, Skinner encourages people to pursue subjects that capture their attention because they can lead to deeper understanding and personal development.",SONAL.NS,positive,0.98,0.97,False,https://economictimes.indiatimes.com/news/international/us/best-quote-of-the-day-by-american-psychologist-b-f-skinner-on-life-lessons-when-you-run-into-something-interesting-drop-inspiring-lessons-on-curiosity-learning-discovery-and-why-knowledge-is-power-by-the-father-of-operant-conditioning-and-radical-behaviorism-known-for-his-deep-insights-into-human-behavior-and-motivation/articleshow/131944385.cms
926a8c52-c58c-4182-b525-5fdb84f7bc3c,2026-06-23T19:29:36+00:00,Economic Times,"Lubrizol bets $150 million on India CPVC market, eyes doubling revenue in five years","Warren Buffett-backed Lubrizol Corporation is making its largest India investment in six decades, a $150 million facility in Gujarat, to tap into the booming CPVC resin market. This move, in partnership with Grasim Industries, aims to meet surging demand driven by urbanization and infrastructure growth. Lubrizol anticipates doubling its Indian revenues within five years, highlighting the region's significant economic potential and its commitment to local production.",GRASIM.NS,positive,0.98,0.97,False,https://economictimes.indiatimes.com/news/company/corporate-trends/lubrizol-bets-150-million-on-india-cpvc-market-eyes-doubling-revenue-in-five-years/articleshow/131949413.cms
